repetition,mode,delta,best_test_accuracy,final_train_loss,final_test_loss,final_avg_spikes,layer4_linearity_spike_count,internal_metrics
9,tough_delta_2.0,2.0,64.89583333333333,0.026824868607124495,0.8574529886245728,243.95833333333334,0.6458333333333334,"{'layer1_rate_mean': 0.14339192807674409, 'layer1_sparsity_mean': 0.8566080689430237, 'layer2_rate_mean': 0.08130208452542623, 'layer2_sparsity_mean': 0.9186979174613953, 'layer3_rate_mean': 0.06938802152872085, 'layer3_sparsity_mean': 0.9306119879086813, 'layer4_rate_mean': 0.08531250109275182, 'layer4_sparsity_mean': 0.9146874984105428}"
9,dissipative_delta_10.0,10.0,99.0625,0.031557949451399184,1.1833696444829305,413.796875,0.9861111111111112,"{'layer1_rate_mean': 0.38286133607228595, 'layer1_sparsity_mean': 0.617138663927714, 'layer2_rate_mean': 0.43027018904685976, 'layer2_sparsity_mean': 0.5697298049926758, 'layer3_rate_mean': 0.35763997832934064, 'layer3_sparsity_mean': 0.6423600196838379, 'layer4_rate_mean': 0.2748958388964335, 'layer4_sparsity_mean': 0.7251041611035665}"
10,expansive_delta_-1.5,-1.5,98.54166666666667,0.08316290877278774,0.5823330998420715,485.6875,0.9756944444444444,"{'layer1_rate_mean': 0.5050911585489909, 'layer1_sparsity_mean': 0.4949088414510091, 'layer2_rate_mean': 0.2972688853740692, 'layer2_sparsity_mean': 0.7027311205863953, 'layer3_rate_mean': 0.15680664380391438, 'layer3_sparsity_mean': 0.8431933561960856, 'layer4_rate_mean': 0.053229167809089026, 'layer4_sparsity_mean': 0.9467708428700765}"
10,tough_delta_2.0,2.0,50.208333333333336,0.032296314948208386,1.3123922983805338,228.40833333333333,0.5034722222222222,"{'layer1_rate_mean': 0.13616211314996082, 'layer1_sparsity_mean': 0.8638378977775574, 'layer2_rate_mean': 0.09062500298023224, 'layer2_sparsity_mean': 0.909375011920929, 'layer3_rate_mean': 0.0625, 'layer3_sparsity_mean': 0.9375, 'layer4_rate_mean': 0.10000000149011612, 'layer4_sparsity_mean': 0.8999999761581421}"
10,dissipative_delta_10.0,10.0,98.22916666666667,0.029083106689335357,1.1017330288887024,315.3520833333333,0.9756944444444444,"{'layer1_rate_mean': 0.26640625596046447, 'layer1_sparsity_mean': 0.733593742052714, 'layer2_rate_mean': 0.3318294326464335, 'layer2_sparsity_mean': 0.6681705633799235, 'layer3_rate_mean': 0.37276367942492167, 'layer3_sparsity_mean': 0.6272363146146138, 'layer4_rate_mean': 0.05135416785875956, 'layer4_sparsity_mean': 0.9486458420753479}"
11,expansive_delta_-1.5,-1.5,99.0625,0.1641337703312597,0.5721504549185435,380.42291666666665,0.9861111111111112,"{'layer1_rate_mean': 0.4531836012999217, 'layer1_sparsity_mean': 0.5468163887659708, 'layer2_rate_mean': 0.18431315322717032, 'layer2_sparsity_mean': 0.815686845779419, 'layer3_rate_mean': 0.07368489801883697, 'layer3_sparsity_mean': 0.9263151049613952, 'layer4_rate_mean': 0.05093750109275182, 'layer4_sparsity_mean': 0.9490625023841858}"
11,tough_delta_2.0,2.0,49.791666666666664,0.039092581133328135,1.0593438704808553,269.92604166666666,0.5034722222222222,"{'layer1_rate_mean': 0.0, 'layer1_sparsity_mean': 1.0, 'layer2_rate_mean': 0.0, 'layer2_sparsity_mean': 1.0, 'layer3_rate_mean': 0.0, 'layer3_sparsity_mean': 1.0, 'layer4_rate_mean': 0.0, 'layer4_sparsity_mean': 1.0}"
11,dissipative_delta_10.0,10.0,49.791666666666664,0.04022107377738481,2.9912988980611166,392.20729166666666,0.5034722222222222,"{'layer1_rate_mean': 0.031894531846046445, 'layer1_sparsity_mean': 0.9681054711341858, 'layer2_rate_mean': 0.0, 'layer2_sparsity_mean': 1.0, 'layer3_rate_mean': 0.0, 'layer3_sparsity_mean': 1.0, 'layer4_rate_mean': 0.0, 'layer4_sparsity_mean': 1.0}"
12,expansive_delta_-1.5,-1.5,98.95833333333333,0.024243030494319334,0.4756770352522532,516.2885416666667,0.9930555555555556,"{'layer1_rate_mean': 0.524973972638448, 'layer1_sparsity_mean': 0.4750260273615519, 'layer2_rate_mean': 0.41513998111089073, 'layer2_sparsity_mean': 0.5848600109418233, 'layer3_rate_mean': 0.36435222029685976, 'layer3_sparsity_mean': 0.6356477737426758, 'layer4_rate_mean': 0.15875000258286795, 'layer4_sparsity_mean': 0.8412499944368999}"
12,tough_delta_2.0,2.0,49.791666666666664,0.023951094635131377,0.6965325037638347,299.778125,0.5034722222222222,"{'layer1_rate_mean': 0.023665364955862363, 'layer1_sparsity_mean': 0.9763346314430237, 'layer2_rate_mean': 0.0, 'layer2_sparsity_mean': 1.0, 'layer3_rate_mean': 0.0, 'layer3_sparsity_mean': 1.0, 'layer4_rate_mean': 0.0, 'layer4_sparsity_mean': 1.0}"
12,dissipative_delta_10.0,10.0,98.125,0.022242228109990398,0.9596759676933289,389.38854166666664,0.9861111111111112,"{'layer1_rate_mean': 0.35560222069422404, 'layer1_sparsity_mean': 0.6443977753321329, 'layer2_rate_mean': 0.34234049717585247, 'layer2_sparsity_mean': 0.6576594988505046, 'layer3_rate_mean': 0.2791080812613169, 'layer3_sparsity_mean': 0.7208919088045757, 'layer4_rate_mean': 0.05187500044703484, 'layer4_sparsity_mean': 0.9481250007947286}"
